state,year,quarter,price
AZ,1985,2,125.71,,,,
AZ,1985,3,127.39,,,,
AZ,1985,4,128.98,,,,
AZ,1986,1,131.59,,,,
AZ,1986,2,135.53,,,,
AZ,1986,3,135.53,,,,
AZ,1986,4,133.13,,,,
AZ,1987,1,137.91,,,,
AZ,1987,2,136.79,,,,
AZ,1987,3,135.85,,,,
AZ,1987,4,133.63,,,,
AZ,1988,1,134.91,,,,
AZ,1988,2,136.24,,,,
AZ,1988,3,134.28,,,,
AZ,1988,4,134.51,,,,
AZ,1989,1,133.29,,,,
AZ,1989,2,132.78,,,,
AZ,1989,3,134.88,,,,
AZ,1989,4,134.1,,,,
AZ,1990,1,133.92,,,,
AZ,1990,2,133.03,,,,
AZ,1990,3,134.23,,,,
AZ,1990,4,132.88,,,,
AZ,1991,1,134.93,,,,
AZ,1991,2,135.91,,,,
AZ,1991,3,135.35,,,,
AZ,1991,4,139.31,,,,
AZ,1992,1,140,,,,
AZ,1992,2,139.7,,,,
AZ,1992,3,140.65,,,,
AZ,1992,4,141.49,,,,
AZ,1993,1,141.61,,,,
AZ,1993,2,143.33,,,,
AZ,1993,3,144.49,,,,
AZ,1993,4,146.39,,,,
AZ,1994,1,148.41,,,,
AZ,1994,2,150.53,,,,
AZ,1994,3,152.48,,,,
AZ,1994,4,154.13,,,,
AZ,1995,1,156.1,,,,
AZ,1995,2,158.95,,,,
AZ,1995,3,162.01,,,,
AZ,1995,4,164.1,,,,
AZ,1996,1,166.66,,,,
AZ,1996,2,167,,,,
AZ,1996,3,168.57,,,,
AZ,1996,4,169.97,,,,
AZ,1997,1,171.86,,,,
AZ,1997,2,172.71,,,,
AZ,1997,3,175.74,,,,
AZ,1997,4,178.43,,,,
AZ,1998,1,180.93,,,,
AZ,1998,2,182.46,,,,
AZ,1998,3,184.9,,,,
AZ,1998,4,187.07,,,,
AZ,1999,1,188.94,,,,
AZ,1999,2,191.37,,,,
AZ,1999,3,194,,,,
AZ,1999,4,195.86,,,,
AZ,2000,1,200.31,,,,
AZ,2000,2,202.52,,,,
AZ,2000,3,205.25,,,,
AZ,2000,4,208.34,,,,
AZ,2001,1,213.01,,,,
AZ,2001,2,216.29,,,,
AZ,2001,3,219.41,,,,
AZ,2001,4,221.54,,,,
AZ,2002,1,224.55,,,,
AZ,2002,2,227.54,,,,
AZ,2002,3,231.42,,,,
AZ,2002,4,234.09,,,,
AZ,2003,1,236.87,,,,
AZ,2003,2,239.33,,,,
AZ,2003,3,243.05,,,,
AZ,2003,4,251.24,,,,
AZ,2004,1,255.61,,,,
AZ,2004,2,264.71,,,,
AZ,2004,3,280.21,,,,
AZ,2004,4,291.69,,,,
AZ,2005,1,309.4,,,,
AZ,2005,2,341.29,,,,
AZ,2005,3,370.31,,,,
AZ,2005,4,396.04,,,,
AZ,2006,1,410.77,,,,
AZ,2006,2,419.51,,,,
AZ,2006,3,423.13,,,,
AZ,2006,4,426.78,,,,
AZ,2007,1,425.04,,,,
AZ,2007,2,421.29,,,,
AZ,2007,3,412.02,,,,
AZ,2007,4,404.99,,,,
AZ,2008,1,391.65,,,,
AZ,2008,2,369.04,,,,
AZ,2008,3,342.01,,,,
AZ,2008,4,329.97,,,,
AZ,2009,1,328.95,,,,
AZ,2009,2,305.41,,,,
AZ,2009,3,289.72,,,,
AZ,2009,4,281.09,,,,
AZ,2010,1,273.15,,,,
AZ,2010,2,263.62,,,,
AZ,2010,3,263.18,,,,
AZ,2010,4,256.65,,,,
AZ,2011,1,242.25,,,,
AZ,2011,2,230.34,,,,
AZ,2011,3,232.28,,,,
AZ,2011,4,237.55,,,,
AZ,2012,1,236.42,,,,
AZ,2012,2,239.28,,,,
AZ,2012,3,249.07,,,,
AZ,2012,4,256.59,,,,
AZ,2013,1,262.9,,,,
AZ,2013,2,274.77,,,,
AZ,2013,3,283.01,,,,
AZ,2013,4,290.91,,,,
AZ,2014,1,296.4,,,,
AZ,2014,2,301.72,,,,
AZ,2014,3,304.86,,,,
AZ,2014,4,309.87,,,,
AZ,2015,1,312.38,,,,
AZ,2015,2,319.2,,,,
AZ,2015,3,325.76,,,,
AZ,2015,4,330.23,,,,
AZ,2016,1,334.01,,,,
AZ,2016,2,341.05,,,,
AZ,2016,3,346.85,,,,
AZ,2016,4,352.35,,,,
AZ,2017,1,357.46,,,,
AZ,2017,2,366.85,,,,
AZ,2017,3,374.65,,,,
AZ,2017,4,378.78,,,,
AZ,2018,1,386.78,,,,
AZ,2018,2,394.94,,,,
